cluster_ID,cluster_total,percent_scooters,battery_average
0,1333,5.19303,2.52138,
1,1153,4.4918,2.48742,
2,971,3.78277,2.43769,
3,988,3.849,2.49393,
4,1366,5.32159,2.41581,
5,1334,5.19693,2.52999,
6,1219,4.74892,2.52994,
7,1603,6.24489,2.48534,
8,2204,8.58623,2.52768,
9,1557,6.06568,2.53308,
10,1459,5.6839,2.42358,
11,1312,5.11122,2.45732,
12,1540,5.99945,2.53182,
13,1218,4.74502,2.51067,
14,1115,4.34376,2.53453,
15,1517,5.90985,2.50758,
16,1491,5.80856,2.444,
17,1366,5.32159,2.53075,
18,913,3.55682,2.49179,
